262,262,327,328,328,328,328,263,262,328,262,327,328,263,328,263,263,262,327,327,263,328,262,327,328,327,328,327,263,327
262,328,263,263,262,262,328,263,328,263,263,328,327,327,262,327,262,262,328,263,263,328,327,262,262,327,262,262,327,262
327,327,328,263,328,327,328,262,263,262,328,263,262,328,262,263,262,328,328,328,327,263,328,262,327,328,263,262,263,263
327,262,327,327,328,263,263,262,262,327,263,328,262,263,328,327,327,328,327,328,328,263,263,328,263,263,263,263,263,263
262,263,262,263,263,328,262,263,328,262,263,262,328,327,328,262,328,327,327,328,262,327,328,262,263,328,328,262,328,263
328,327,328,327,263,263,328,262,327,262,262,262,328,327,262,327,327,327,327,262,328,327,327,262,262,328,327,327,262,328
328,263,262,328,262,327,262,262,263,263,262,328,327,262,328,262,262,328,327,262,327,327,328,263,263,263,262,328,263,262
263,327,263,327,328,328,328,327,327,328,262,262,328,328,327,327,327,263,263,328,328,327,327,328,263,263,263,262,262,328
328,328,262,327,327,328,328,327,263,262,327,327,328,327,327,262,328,263,327,263,262,263,263,328,263,263,328,262,327,328
328,262,263,328,263,262,263,262,328,262,263,263,328,327,327,328,262,262,327,262,327,263,327,327,327,327,327,262,327,328
262,328,327,262,328,263,328,327,263,263,263,263,263,262,328,327,262,263,328,327,263,263,327,263,262,328,327,263,328,328
262,262,327,327,263,327,263,263,263,328,262,327,327,262,328,328,263,328,327,328,327,327,262,328,262,328,262,263,328,327
262,262,263,328,328,327,262,327,262,328,263,328,262,328,328,328,263,328,262,328,328,263,328,327,328,328,327,263,263,327
262,327,263,328,262,328,262,328,328,263,262,327,327,263,328,262,262,327,327,263,262,328,262,262,328,262,262,262,262,328
327,263,327,327,328,262,327,262,262,262,262,328,327,327,328,327,262,328,262,262,263,263,328,327,263,328,263,327,263,262
327,262,327,328,263,328,328,327,327,327,262,327,263,327,328,262,263,262,327,263,327,328,263,328,327,263,328,328,263,327
262,262,263,327,328,262,262,328,262,328,328,263,263,328,262,328,328,328,328,328,263,327,328,263,328,328,263,328,328,327
263,262,263,327,328,328,262,262,263,328,327,263,328,262,327,327,263,262,262,263,328,263,327,262,263,263,327,327,262,327
327,262,327,328,262,263,263,262,328,262,327,262,327,328,263,262,328,328,328,262,263,263,328,262,262,328,327,262,328,263
263,328,262,327,262,262,263,328,262,328,263,328,328,263,328,263,263,263,262,263,328,327,263,328,327,327,263,262,262,328
